regions,day,price,Year
USA,2018-02-01,66.82952082831687,2018
Canada,2018-03-01,26.77,2018
France,2018-03-01,14.104254000000001,2018
Germany,2018-03-01,40.6064775654,2018
Japan,2018-03-01,9.852077890066552,2018
UK,2018-03-01,163.97694624740168,2018
USA,2018-03-01,66.8294983440966,2018
Canada,2018-04-01,25.24,2018
France,2018-04-01,12.935351,2018
Germany,2018-04-01,38.418215,2018
Japan,2018-04-01,10.320590861131402,2018
UK,2018-04-01,181.47977720596643,2018
USA,2018-04-01,55.38287070854639,2018
Canada,2018-05-01,22.969998999999998,2018
France,2018-05-01,10.5872104,2018
Germany,2018-05-01,36.13515,2018
Japan,2018-05-01,10.33216822584651,2018
UK,2018-05-01,186.479455443156,2018
USA,2018-05-01,56.02274157976653,2018
Canada,2018-06-01,21.25,2018
France,2018-06-01,10.5751728,2018
Germany,2018-06-01,31.19252,2018
Japan,2018-06-01,9.381837346816349,2018
UK,2018-06-01,172.82984853284668,2018
USA,2018-06-01,49.257888838632276,2018
Canada,2018-07-01,23.530001000000002,2018
France,2018-07-01,12.060202,2018
Germany,2018-07-01,37.0608,2018
Japan,2018-07-01,9.748938068279292,2018
UK,2018-07-01,169.86447302048418,2018
USA,2018-07-01,52.37405176205181,2018
Canada,2018-08-01,26.82,2018
France,2018-08-01,12.550344,2018
Germany,2018-08-01,34.254518999999995,2018
Japan,2018-08-01,9.258926983584134,2018
UK,2018-08-01,144.76225434400268,2018
USA,2018-08-01,52.71467852257182,2018
Canada,2018-09-01,27.6,2018
France,2018-09-01,13.630262400000001,2018
Germany,2018-09-01,32.146271999999996,2018
Japan,2018-09-01,9.323045232168914,2018
UK,2018-09-01,149.30794433340762,2018
USA,2018-09-01,53.891115817011425,2018
Canada,2018-10-01,24.98,2018
France,2018-10-01,12.726152,2018
Germany,2018-10-01,26.403792,2018
Japan,2018-10-01,8.556915388592106,2018
UK,2018-10-01,129.9056189041065,2018
USA,2018-10-01,44.936618105635006,2018
Canada,2018-11-01,29.0,2018
France,2018-11-01,15.172272,2018
Germany,2018-11-01,32.0436,2018
Japan,2018-11-01,9.484244711665056,2018
UK,2018-11-01,114.0054919260998,2018
USA,2018-11-01,52.53617484420258,2018
Canada,2018-12-01,25.959999,2018
France,2018-12-01,14.329968,2018
Germany,2018-12-01,29.778521511599997,2018
Japan,2018-12-01,9.608021832907829,2018
UK,2018-12-01,111.21033043607132,2018
USA,2018-12-01,42.730414219209436,2018
Canada,2019-01-01,29.67,2019
France,2019-01-01,17.1655,2019
Germany,2019-01-01,34.424628439500005,2019
Japan,2019-01-01,9.75823580786026,2019
UK,2019-01-01,123.6076423440242,2019
USA,2019-01-01,48.75029257641921,2019
Canada,2019-02-01,33.110001000000004,2019
France,2019-02-01,16.3639125,2019
Germany,2019-02-01,33.843376507500004,2019
Japan,2019-02-01,10.066646325516519,2019
UK,2019-02-01,85.62334307584655,2019
USA,2019-02-01,46.82436274736292,2019
Canada,2019-03-01,32.209998999999996,2019
France,2019-03-01,15.008427500000002,2019
Germany,2019-03-01,29.2907629971,2019
Japan,2019-03-01,9.758835104981113,2019
UK,2019-03-01,79.32406153103481,2019
USA,2019-03-01,41.77097074584907,2019
Canada,2019-04-01,32.16,2019
France,2019-04-01,15.456179999999998,2019
Germany,2019-04-01,32.292912,2019
Japan,2019-04-01,9.38876646493414,2019
UK,2019-04-01,93.03146619370052,2019
USA,2019-04-01,45.64836952652189,2019
Canada,2019-05-01,39.900002,2019
France,2019-05-01,11.66202,2019
Germany,2019-05-01,25.7028734925,2019
Japan,2019-05-01,8.788598680691747,2019
UK,2019-05-01,76.87812683772378,2019
USA,2019-05-01,36.59228472098414,2019
Canada,2019-06-01,39.689999,2019
France,2019-06-01,12.775198,2019
Germany,2019-06-01,22.778305000000003,2019
Japan,2019-06-01,8.797089947089948,2019
UK,2019-06-01,78.11672734319508,2019
USA,2019-06-01,44.202328501031296,2019
Canada,2019-07-01,45.41,2019
France,2019-07-01,14.0097184,2019
Germany,2019-07-01,21.369875,2019
Japan,2019-07-01,8.841792228390167,2019
UK,2019-07-01,79.37718413005194,2019
USA,2019-07-01,39.96490087232355,2019
Canada,2019-08-01,44.75,2019
France,2019-08-01,14.959749,2019
Germany,2019-08-01,20.413596,2019
Japan,2019-08-01,9.062580411343662,2019
UK,2019-08-01,77.13524041623698,2019
USA,2019-08-01,34.8082454831929,2019
Canada,2019-09-01,43.209998999999996,2019
France,2019-09-01,14.0746116,2019
Germany,2019-09-01,21.371364,2019
Japan,2019-09-01,8.912212758245742,2019
UK,2019-09-01,91.96022145729587,2019
USA,2019-09-01,35.821515525733965,2019
Canada,2019-10-01,46.900002,2019
France,2019-10-01,15.442455000000002,2019
Germany,2019-10-01,22.487397,2019
Japan,2019-10-01,8.893576803083132,2019
UK,2019-10-01,101.40849762351752,2019
USA,2019-10-01,39.901628329418244,2019
Canada,2019-11-01,50.049999,2019
France,2019-11-01,15.680376,2019
Germany,2019-11-01,25.282402531800003,2019
Japan,2019-11-01,9.239682197683814,2019
UK,2019-11-01,113.36095824597712,2019
USA,2019-11-01,37.881378938863456,2019
Canada,2019-12-01,48.509997999999996,2019
France,2019-12-01,14.5029336,2019
Germany,2019-12-01,23.981574,2019
Japan,2019-12-01,8.676313968311781,2019
UK,2019-12-01,104.14340567767674,2019
USA,2019-12-01,38.16513567656165,2019
Canada,2020-01-01,44.330002,2020
France,2020-01-01,12.2506416,2020
Germany,2020-01-01,20.189034,2020
Japan,2020-01-01,8.186523055011573,2020
UK,2020-01-01,84.5719516248237,2020
USA,2020-01-01,34.87718711055724,2020
Canada,2020-02-01,34.25,2020
France,2020-02-01,10.104331599999998,2020
Germany,2020-02-01,17.098962999999998,2020
Japan,2020-02-01,6.736466702859211,2020
UK,2020-02-01,64.80298467312147,2020
